,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
278,8,6,0,500,763,-1.9618003,1596603243397
372,8,2,0,500,763,-1.9618003,1596655671083
4842,8,2,0,0,816,-1.9641426,1606189463267
6522,8,12,0,0,736,-1.9641426,1609199468109
337,8,6,0,0,763,-1.9641426,1596647440696
6358,8,13,0,0,801,-1.9641426,1609846190151
385,8,2,0,0,763,-1.9641426,1596691958702
2832,8,2,0,0,783,-1.9641426,1600581485634
293,8,9,0,0,736,-1.9641426,1590285678563
6372,8,12,0,0,801,-1.9641426,1609846317331
6351,8,13,0,0,801,-1.9641426,1609846093907
6377,8,2,0,0,801,-1.9641426,1609846334707
2435,8,9,0,0,752,-1.9641426,1598222103708
3814,8,8,0,0,747,-1.9641426,1599257828032
3365,8,2,0,0,783,-1.9641426,1602396932695
2390,8,8,0,0,712,-1.9641426,1599427868841
7286,8,15,1,0,571,-1.9653282,1612168867014
3783,8,15,1,0,551,-1.9653282,1604292807218
2812,14,0,0,0,673,-1.9831375,1600542555865
2642,16,0,0,0,574,-1.9831375,1600011949021
1820,12,0,0,0,571,-1.9831375,1597990512943
1821,14,0,0,0,571,-1.9831375,1597990514174
1822,16,0,0,0,571,-1.9831375,1597990515605
1823,18,0,0,0,571,-1.9831375,1597990517989
7543,10,20,0,0,571,-2.0190108,1612169009555
7097,10,20,0,0,571,-2.0190108,1612168552111
7212,10,19,0,0,571,-2.0190108,1612168682421
7572,10,20,0,0,571,-2.0190108,1612169025822
6943,10,20,0,0,571,-2.0190108,1612168465865
7581,10,21,0,0,571,-2.0190108,1612169030561
7654,10,19,0,0,571,-2.0190108,1612169070975
7762,10,19,0,0,571,-2.0190108,1612169133681
7769,10,19,0,0,571,-2.0190108,1612169137556
7245,10,20,0,0,571,-2.0190108,1612168698567
7815,10,22,0,0,571,-2.0190108,1612169163814
1935,10,20,0,0,571,-2.0190108,1597990685084
5264,6,0,0,0,544,-2.0233004,1607932057429
4492,10,0,6,0,544,-2.0739028,1605663250717
2760,10,0,6,0,544,-2.0739028,1600308281439
1890,0,15,0,0,571,-2.1182594,1597990616274
2034,2,15,0,0,571,-2.1182594,1597990863194
2035,4,15,0,0,571,-2.1182594,1597990864207
2036,6,15,0,0,571,-2.1182594,1597990865333
7810,10,20,0,500,571,-2.1610303,1612169161420
7753,10,20,0,500,571,-2.1610303,1612169128632
7960,10,20,0,0,779,-2.2027547,1612762223229
626,10,20,0,0,763,-2.2027547,1596785101379
1473,10,19,0,0,763,-2.2027547,1596964515263
2893,14,0,1,0,673,-2.2310033,1600825324002
7280,12,0,1,0,571,-2.2310033,1612168863699
7358,12,0,1,0,571,-2.2310033,1612168904207
7359,14,0,1,0,571,-2.2310033,1612168904723
3804,14,0,1,0,673,-2.2310033,1604380803724
7310,16,0,1,0,571,-2.2310033,1612168879711
7308,12,0,1,0,571,-2.2310033,1612168878695
7282,16,0,1,0,571,-2.2310033,1612168864750
7360,16,0,1,0,571,-2.2310033,1612168905205
7309,14,0,1,0,571,-2.2310033,1612168879187
7362,24,0,1,0,571,-2.2310033,1612168906256
7281,14,0,1,0,571,-2.2310033,1612168864229
7361,20,0,1,0,571,-2.2310033,1612168905697
2411,14,0,1,0,630,-2.2310033,1597282871187
3375,4,15,0,0,783,-2.254849,1602437687989
3376,4,15,0,0,783,-2.254849,1602437924638
3374,6,15,0,0,783,-2.254849,1602437248283
2931,2,15,0,0,783,-2.254849,1600929576527
4008,2,15,0,0,850,-2.254849,1605048711430
6401,2,15,0,0,795,-2.254849,1609965153900
2516,2,15,0,0,786,-2.254849,1599676160008
311,0,15,0,0,763,-2.254849,1596645950295
2889,2,15,0,0,731,-2.254849,1600812679307
594,2,15,0,0,763,-2.254849,1596783889767
6836,0,15,0,0,747,-2.254849,1611781964483
3481,8,20,1,0,544,-2.2786694,1602877412625
7214,8,12,0,0,571,-2.3151264,1612168683415
7234,8,12,0,0,571,-2.3151264,1612168693097
7240,8,8,0,0,571,-2.3151264,1612168696115
7169,8,8,0,0,571,-2.3151264,1612168658279
7805,8,6,0,0,571,-2.3151264,1612169158660
7157,8,2,0,0,571,-2.3151264,1612168652123
2029,8,13,0,0,571,-2.3151264,1597990854591
1939,8,2,0,0,571,-2.3151264,1597990694916
1912,8,2,0,0,571,-2.3151264,1597990654589
1948,8,2,0,0,571,-2.3151264,1597990713048
1953,8,13,0,0,571,-2.3151264,1597990719316
1957,8,13,0,0,571,-2.3151264,1597990727524
7778,8,6,0,0,571,-2.3151264,1612169142561
1961,8,13,0,0,571,-2.3151264,1597990733449
1978,8,13,0,0,571,-2.3151264,1597990761264
7748,8,6,0,0,571,-2.3151264,1612169125895
1810,8,12,0,0,571,-2.3151264,1597990498220
7537,8,2,0,0,571,-2.3151264,1612169006422
7659,8,2,0,0,571,-2.3151264,1612169073647
7645,8,10,0,0,571,-2.3151264,1612169066091
2076,8,13,0,0,571,-2.3151264,1597990931120
7595,8,2,0,0,571,-2.3151264,1612169039079
7591,8,2,0,0,571,-2.3151264,1612169036725
1930,8,10,0,0,571,-2.3151264,1597990678876
2092,8,6,0,0,571,-2.3151264,1597990952164
2100,8,2,0,0,571,-2.3151264,1597990968813
7567,8,13,0,0,571,-2.3151264,1612169022967
7585,8,12,0,0,571,-2.3151264,1612169032652
1920,8,2,0,0,571,-2.3151264,1597990665066
2639,0,0,1,0,809,-2.3261054,1599992750181
2300,4,0,1,0,763,-2.3261054,1599003000454
4193,14,0,1,500,673,-2.337913,1605620984477
3936,4,0,0,0,673,-2.339333,1604797756534
5865,6,0,0,0,673,-2.339333,1608696770460
7666,6,0,0,0,571,-2.339333,1612169077340
8032,6,0,0,0,673,-2.339333,1588815277308
7783,0,0,0,0,571,-2.339333,1612169145386
1555,4,0,0,0,620,-2.339333,1597292889837
3917,2,0,0,0,673,-2.339333,1604699002621
3122,2,0,0,0,673,-2.339333,1601739980719
6802,2,0,0,0,673,-2.339333,1611620685527
6925,6,0,0,0,644,-2.339333,1612114855585
2619,4,0,0,0,661,-2.339333,1599924840012
7665,4,0,0,0,571,-2.339333,1612169076870
3937,4,0,0,0,673,-2.339333,1604797910404
1817,2,0,0,0,571,-2.339333,1597990508827
7529,0,0,0,0,571,-2.339333,1612169002106
7530,2,0,0,0,571,-2.339333,1612169002649
1818,4,0,0,0,571,-2.339333,1597990510329
