,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
1325,4,2,2,0,763,-0.8039541,1596938989792
180,4,2,2,0,763,-0.8039541,1596598742738
2,4,2,2,0,763,-0.8039541,1596573247500
1301,4,2,2,0,763,-0.8039541,1596937788736
1299,4,2,2,0,763,-0.8039541,1596937764502
71,4,2,2,0,763,-0.8039541,1596579173342
1028,4,8,2,0,763,-0.8039541,1596879604926
4041,2,20,2,0,814,-0.83672816,1605148821498
6475,2,20,2,0,801,-0.83672816,1609977226795
2959,2,0,6,0,94,-0.8533589,1601028794573
6633,2,0,6,0,118,-0.8533589,1610671771288
4840,4,9,0,500,763,-0.86516905,1606182842491
3759,4,0,6,0,118,-0.89001936,1604105573107
6209,4,0,6,0,56,-0.89001936,1609843782650
5977,4,0,6,0,48,-0.89001936,1609194434966
6197,4,0,6,0,56,-0.89001936,1609843036559
2451,4,0,6,0,56,-0.89001936,1599508474322
3868,4,0,6,0,48,-0.89001936,1604613656467
1155,2,20,6,500,763,-0.918975,1596928951343
693,2,20,6,500,763,-0.918975,1596787883814
3545,2,20,6,500,763,-0.918975,1603308510010
5925,2,2,6,0,269,-0.941976,1609008295109
6001,2,2,6,0,269,-0.941976,1609200246556
3996,2,2,6,0,403,-0.941976,1605023302110
8052,2,2,6,0,403,-0.941976,1613000038621
2301,2,2,6,0,264,-0.941976,1599003571568
3998,2,2,6,0,269,-0.941976,1605030882261
2262,2,2,6,0,403,-0.941976,1598809595129
3458,4,21,6,0,673,-0.95997196,1602711457125
2650,2,9,7,0,632,-1.001855,1600037837916
3553,2,0,9,0,480,-1.0112135,1600365306403
4178,2,0,9,0,480,-1.0112135,1605577664926
3151,4,20,10,0,772,-1.0560409,1601817242802
6462,4,20,8,0,801,-1.0560409,1609976940674
6810,4,9,2,0,673,-1.0871135,1611680092128
4774,4,9,2,0,673,-1.0871135,1605459750273
5883,4,9,2,0,673,-1.0871135,1608832591447
2450,4,9,2,0,747,-1.0871135,1599507976547
4773,4,9,2,0,673,-1.0871135,1605459601640
4524,4,9,2,0,673,-1.0871135,1605680336007
1100,2,21,6,500,763,-1.1044939,1596926811480
6715,0,20,2,500,632,-1.1224179,1607271704821
2710,2,9,2,0,783,-1.1323476,1600215702246
5214,4,1,2,0,480,-1.132871,1607932017166
3315,4,0,2,0,480,-1.132871,1602257859493
6188,0,2,6,0,56,-1.14007,1609842438943
2588,0,2,6,0,62,-1.14007,1599840547834
3515,0,2,6,0,151,-1.14007,1603155515658
6544,0,2,6,0,48,-1.14007,1610247862144
5183,0,0,3,0,480,-1.1438371,1607764170776
3750,2,9,6,0,763,-1.1455821,1604088396475
1211,2,9,6,0,763,-1.1455821,1596932677086
1220,2,9,6,0,763,-1.1455821,1596933260578
16,4,0,2,0,763,-1.2233963,1596574544982
