wardrobe_id,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_created_at_ms,wardrobe_designer,wardrobe_photo_signature
wardrobe-1612168476098,6,Black,Straight,278,1612168476098,Nina Canacci,wardrobe-1612168476098
wardrobe-1612168476569,8,Black,Straight,278,1612168476569,Nina Canacci,wardrobe-1612168476569
wardrobe-1612168477082,10,Black,Straight,278,1612168477082,Nina Canacci,wardrobe-1612168477082
wardrobe-1612168477537,12,Black,Straight,278,1612168477537,Nina Canacci,wardrobe-1612168477537
wardrobe-1612168477989,4,Red,Straight,278,1612168477989,Nina Canacci,wardrobe-1612168477989
wardrobe-1612168478455,6,Red,Straight,278,1612168478455,Nina Canacci,wardrobe-1612168478455
wardrobe-1612168478936,8,Red,Straight,278,1612168478936,Nina Canacci,wardrobe-1612168478936
wardrobe-1612168479389,0,White,Straight,258,1612168479389,Nina Canacci,wardrobe-1612168479389
wardrobe-1612168479915,2,White,Straight,258,1612168479915,Nina Canacci,wardrobe-1612168479915
wardrobe-1612168480426,4,White,Straight,258,1612168480426,Nina Canacci,wardrobe-1612168480426
wardrobe-1612168481076,6,White,Straight,258,1612168481076,Nina Canacci,wardrobe-1612168481076
wardrobe-1612168481613,8,White,Straight,258,1612168481613,Nina Canacci,wardrobe-1612168481613
wardrobe-1612168482169,10,White,Straight,258,1612168482169,Nina Canacci,wardrobe-1612168482169
wardrobe-1612168482674,12,White,Straight,258,1612168482674,Nina Canacci,wardrobe-1612168482674
wardrobe-1612168483187,14,White,Straight,258,1612168483187,Nina Canacci,wardrobe-1612168483187
wardrobe-1612168483692,18,White,Straight,258,1612168483692,Nina Canacci,wardrobe-1612168483692
wardrobe-1612168484179,0,White,A-line,298,1612168484179,Nina Canacci,wardrobe-1612168484179
wardrobe-1612168484954,2,White,A-line,298,1612168484954,Nina Canacci,wardrobe-1612168484954
wardrobe-1612168485766,4,White,A-line,298,1612168485766,Nina Canacci,wardrobe-1612168485766
wardrobe-1612168486557,6,White,A-line,298,1612168486557,Nina Canacci,wardrobe-1612168486557
wardrobe-1612168487390,8,White,A-line,298,1612168487390,Nina Canacci,wardrobe-1612168487390
